game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat
2021_05_LA_SEA,202110070sea,2021,5,REG,LA,SEA,Darrell Henderson,HendDa00,0,0,0,0,118.7
2021_05_LA_SEA,202110070sea,2021,5,REG,LA,SEA,DeSean Jackson,JackDe00,0,0,0,0,81.9
2021_05_LA_SEA,202110070sea,2021,5,REG,LA,SEA,Van Jefferson,JeffVa00,0,1,0.25,0,43.7
2021_05_LA_SEA,202110070sea,2021,5,REG,LA,SEA,Sony Michel,MichSo00,0,0,0,0,100
2021_05_NYJ_ATL,202110100atl,2021,5,REG,ATL,NYJ,Kyle Pitts,PittKy00,0,0,0,0,149.6
2021_05_NYJ_ATL,202110100atl,2021,5,REG,ATL,NYJ,Cordarrelle Patterson,PattCo00,0,0,0,0,94.4
2021_05_NYJ_ATL,202110100atl,2021,5,REG,ATL,NYJ,Hayden Hurst,HursHa00,0,0,0,0,139.6
2021_05_NYJ_ATL,202110100atl,2021,5,REG,ATL,NYJ,Tajae Sharpe,SharTa00,0,0,0,0,110.8
2021_05_NYJ_ATL,202110100atl,2021,5,REG,ATL,NYJ,Lee Smith,SmitLe00,0,0,0,0,108.3
2021_05_NYJ_ATL,202110100atl,2021,5,REG,ATL,NYJ,Olamide Zaccheaus,ZaccOl01,0,1,0.25,0,64.6
2021_05_NYJ_ATL,202110100atl,2021,5,REG,ATL,NYJ,Mike Davis,DaviMi01,2,0,0,0,47.9
2021_05_NYJ_ATL,202110100atl,2021,5,REG,ATL,NYJ,Christian Blake,BlakCh00,0,0,0,0,56.2
2021_05_NYJ_ATL,202110100atl,2021,5,REG,NYJ,ATL,Jamison Crowder,CrowJa00,0,0,0,0,74.3
2021_05_NYJ_ATL,202110100atl,2021,5,REG,NYJ,ATL,Corey Davis,DaviCo03,0,1,0.143,0,76.5
2021_05_NYJ_ATL,202110100atl,2021,5,REG,NYJ,ATL,Michael Carter,CartMi03,0,0,0,0,94.4
2021_05_NYJ_ATL,202110100atl,2021,5,REG,NYJ,ATL,Keelan Cole,ColeKe00,0,0,0,1,70.1
2021_05_NYJ_ATL,202110100atl,2021,5,REG,NYJ,ATL,Ty Johnson,JohnTy02,0,0,0,0,88.2
2021_05_NYJ_ATL,202110100atl,2021,5,REG,NYJ,ATL,Denzel Mims,MimsDe00,0,0,0,0,103.5
2021_05_NYJ_ATL,202110100atl,2021,5,REG,NYJ,ATL,Braxton Berrios,BerrBr00,0,0,0,0,91.7
2021_05_NYJ_ATL,202110100atl,2021,5,REG,NYJ,ATL,Ryan Griffin,GrifRy00,0,0,0,0,56.2
2021_05_NYJ_ATL,202110100atl,2021,5,REG,NYJ,ATL,Tevin Coleman,ColeTe01,0,0,0,0,39.6
2021_05_NYJ_ATL,202110100atl,2021,5,REG,NYJ,ATL,Elijah Moore,MoorEl00,0,0,0,0,39.6
2021_05_PHI_CAR,202110100car,2021,5,REG,CAR,PHI,Chuba Hubbard,HubbCh01,1,1,0.167,0,89.6
2021_05_PHI_CAR,202110100car,2021,5,REG,CAR,PHI,D.J. Moore,MoorD.00,0,0,0,2,47
2021_05_PHI_CAR,202110100car,2021,5,REG,CAR,PHI,Ian Thomas,ThomIa00,0,0,0,0,100
2021_05_PHI_CAR,202110100car,2021,5,REG,CAR,PHI,Robby Anderson,AndeRo04,0,1,0.143,1,5.4
2021_05_PHI_CAR,202110100car,2021,5,REG,CAR,PHI,Terrace Marshall Jr.,MarsTe00,0,0,0,0,77.1
